player_name,position_group,round.roundNumber,position_top_n,position_percentile,percentile_rating,raw_score,dream_team_points,goals,kicks,handballs,marks,behinds,tackles,clearances,inside_50s,rebound_50s,contested_possessions,marks_inside_50,contested_marks,frees_for,frees_against,clangers,goal_assists,effective_disposals,spoils,ground_ball_gets,one_percenters,intercept_marks,weight_goals,weight_kicks,weight_handballs,weight_marks,weight_behinds,weight_tackles,weight_clearances,weight_inside_50s,weight_rebound_50s,weight_contested_possessions,weight_marks_inside_50,weight_contested_marks,weight_frees_for,weight_frees_against,weight_clangers,weight_goal_assists,weight_effective_disposals,weight_spoils,weight_ground_ball_gets,weight_one_percenters,weight_intercept_marks,contribution_goals,contribution_kicks,contribution_handballs,contribution_marks,contribution_behinds,contribution_tackles,contribution_clearances,contribution_inside_50s,contribution_rebound_50s,contribution_contested_possessions,contribution_marks_inside_50,contribution_contested_marks,contribution_frees_for,contribution_frees_against,contribution_clangers,contribution_goal_assists,contribution_effective_disposals,contribution_spoils,contribution_ground_ball_gets,contribution_one_percenters,contribution_intercept_marks
Sam Darcy,Ruck,23,1,100.0,10.0,39.108999999999995,133,7,13,7,9,1,2,1,2,0,11,6,4,3,2,3,1,14.0,1.0,4.0,2,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,17.5,1.001,0.777,1.5030000000000001,0.3,0.5,0.333,0.666,0.0,1.375,6.0,4.0,3.0,-2.0,-0.75,1.0,0.9380000000000001,0.5,0.8,0.666,1.0
Max Gawn,Ruck,11,2,99.76851851851852,9.95,34.056,152,1,17,10,7,0,3,10,5,1,18,2,3,8,0,2,0,24.0,4.0,1.0,4,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.309,1.11,1.169,0.0,0.75,3.33,1.665,0.333,2.25,2.0,3.0,8.0,-0.0,-0.5,0.0,1.608,2.0,0.2,1.332,2.0
Tristan Xerri,Ruck,22,3,99.53703703703704,9.9,28.517,168,0,11,19,6,0,12,13,6,0,23,0,4,4,2,3,0,24.0,3.0,10.0,3,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,0.847,2.109,1.002,0.0,3.0,4.329000000000001,1.9980000000000002,0.0,2.875,0.0,4.0,4.0,-2.0,-0.75,0.0,1.608,1.5,2.0,0.9990000000000001,1.0
Tim English,Ruck,17,4,99.30555555555556,9.85,28.348,131,2,13,4,8,0,5,3,2,3,10,2,3,4,0,2,1,13.0,3.0,1.0,4,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,1.001,0.444,1.336,0.0,1.25,0.9990000000000001,0.666,0.9990000000000001,1.25,2.0,3.0,4.0,-0.0,-0.5,1.0,0.871,1.5,0.2,1.332,2.0
Oscar McInerney,Ruck,15,5,99.07407407407408,9.8,27.697,125,3,13,5,4,0,3,8,4,1,15,1,2,3,0,1,0,11.0,2.0,6.0,4,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,7.5,1.001,0.555,0.668,0.0,0.75,2.664,1.332,0.333,1.875,1.0,2.0,3.0,-0.0,-0.25,0.0,0.7370000000000001,1.0,1.2000000000000002,1.332,1.0
Darcy Cameron,Ruck,22,6,98.8425925925926,9.75,26.628999999999998,108,1,14,5,7,0,1,7,1,0,15,1,5,3,1,2,1,15.0,1.0,6.0,1,5.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.078,0.555,1.169,0.0,0.25,2.331,0.333,0.0,1.875,1.0,5.0,3.0,-1.0,-0.5,1.0,1.0050000000000001,0.5,1.2000000000000002,0.333,5.0
Max Gawn,Ruck,22,7,98.61111111111111,9.7,26.61,118,0,14,8,5,0,2,6,3,6,15,0,3,7,0,2,0,19.0,2.0,0.0,2,4.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.078,0.888,0.8350000000000001,0.0,0.5,1.9980000000000002,0.9990000000000001,1.9980000000000002,1.875,0.0,3.0,7.0,-0.0,-0.5,0.0,1.2730000000000001,1.0,0.0,0.666,4.0
Rowan Marshall,Ruck,5,8,98.37962962962963,9.65,24.791999999999998,138,0,22,6,7,1,3,16,10,0,18,2,0,4,1,4,1,16.0,1.0,7.0,1,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.694,0.666,1.169,0.3,0.75,5.328,3.33,0.0,2.25,2.0,0.0,4.0,-1.0,-1.0,1.0,1.072,0.5,1.4000000000000001,0.333,1.0
Rhys Stanley,Ruck,24,9,98.14814814814815,9.6,24.41,115,2,11,5,5,0,3,4,4,1,9,2,1,3,1,2,1,10.0,6.0,4.0,7,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,0.847,0.555,0.8350000000000001,0.0,0.75,1.332,1.332,0.333,1.125,2.0,1.0,3.0,-1.0,-0.5,1.0,0.67,3.0,0.8,2.331,0.0
Jarrod Witts,Ruck,21,10,97.91666666666666,9.55,24.400000000000002,141,1,9,12,6,1,4,5,5,1,15,1,1,2,2,2,1,11.0,6.0,9.0,6,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,0.693,1.332,1.002,0.3,1.0,1.665,1.665,0.333,1.875,1.0,1.0,2.0,-2.0,-0.5,1.0,0.7370000000000001,3.0,1.8,1.9980000000000002,2.0
