player_name,position_group,round.roundNumber,goals,behinds,kicks,handballs,disposals,marks,tackles,clearances,inside_50s,effective_disposals,dream_team_points,raw_score,position_percentile,percentile_rating
Jake Waterman,Forward,5,6,2,16,2,18,13,4,0,4,12.0,148,41.727,100.0,10.0
Sam Darcy,Ruck,23,7,1,13,7,20,9,2,1,2,14.0,133,39.108999999999995,100.0,10.0
Jordan Ridley,Defender,11,1,0,24,7,31,12,1,0,3,27.0,132,29.133,100.0,10.0
Lachie Neale,Midfielder,17,3,0,20,16,36,9,2,10,6,28.0,143,29.089000000000006,100.0,10.0
Jesse Hogan,Forward,1,6,2,15,3,18,8,1,0,2,16.0,121,41.137,99.96141975308642,9.99
Sam Taylor,Defender,2,0,0,11,6,17,10,4,0,0,15.0,91,29.068,99.96141975308642,9.99
Jordan Dawson,Midfielder,6,2,0,22,9,31,7,9,3,8,22.0,155,29.081,99.9537037037037,9.99
Joel Amartey,Forward,14,9,1,10,0,10,7,6,0,0,9.0,131,38.992000000000004,99.92283950617285,9.98
Jacob Weitering,Defender,18,0,0,17,4,21,11,1,1,0,18.0,97,28.9,99.92283950617285,9.98
Marcus Bontempelli,Midfielder,14,3,0,20,10,30,8,5,7,8,21.0,142,28.928,99.9074074074074,9.98
Eric Hipwood,Forward,13,6,2,16,4,20,13,2,0,7,12.0,140,36.473,99.88425925925925,9.97
Jeremy Howe,Defender,21,0,0,18,2,20,7,4,0,0,16.0,95,27.79,99.88425925925925,9.97
Nick Daicos,Midfielder,24,2,1,25,15,40,11,1,9,10,31.0,157,28.863,99.86111111111111,9.97
Jeremy Cameron,Forward,24,9,1,12,2,14,9,1,0,0,12.0,121,35.244,99.84567901234568,9.97
Jeremy McGovern,Defender,22,0,0,17,8,25,6,3,0,1,21.0,98,27.582,99.84567901234568,9.97
Marcus Bontempelli,Midfielder,12,2,0,17,21,38,5,9,10,4,28.0,159,28.679,99.81481481481481,9.96
Dylan Moore,Forward,12,5,1,17,10,27,5,3,3,5,21.0,132,33.391000000000005,99.8070987654321,9.96
Jack Buckley,Defender,8,0,0,10,4,14,6,0,0,0,12.0,51,27.488,99.8070987654321,9.96
Max Gawn,Ruck,11,1,0,17,10,27,7,3,10,5,24.0,152,34.056,99.76851851851852,9.95
Jesse Hogan,Forward,17,5,0,11,4,15,9,5,0,0,10.0,119,33.072,99.76851851851852,9.95
